,solar,P_solar_max,P_solar_min,P_load,load_min,load_max,SOC_min,SOC_max,P_batt_max,P_batt_min,battery_eta,import_price,export_price,raise_price,lower_price,nu,P_solar,P_meter,P_batt,SOC,Online,import_DOE,export_DOE,upper_IOE,lower_IOE,Upper_DOE_Breach,Lower_DOE_Breach,settled_revenue,aggregator,R_bid,L_bid
121,-5.794444476237779,0,-7,0.23134800114630094,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.22,0.08,0.03739,0.00098,0.05,,,,,,,,,,,,,1,,
122,-5.91861816059346,0,-7,0.2238569961041997,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.22,0.08,0.02039,0.00092,0.05,,,,,,,,,,,,,1,,
123,-4.898444414137776,0,-7,0.2451810061671003,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.22,0.08,0.02039,0.00083,0.05,,,,,,,,,,,,,1,,
124,-5.944581746181815,0,-7,0.2718240009431994,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.22,0.08,0.02039,0.00092,0.05,,,,,,,,,,,,,1,,
125,-5.875333309173336,0,-7,0.2738009783687994,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.22,0.08,0.02039,0.00092,0.05,,,,,,,,,,,,,1,,
126,-5.94370903014546,0,-7,0.2780519988546009,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.22,0.08,0.01494,0.00098,0.05,,,,,,,,,,,,,1,,
127,-5.772444401844444,0,-7,0.2645969919491997,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.22,0.08,0.00829,0.00098,0.05,,,,,,,,,,,,,1,,
128,-5.9954181497759995,0,-7,0.2022239982548997,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.22,0.08,0.00835,0.00092,0.05,,,,,,,,,,,,,1,,
129,-4.555777737826668,0,-7,0.0699149979287991,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.22,0.08,0.00782364,0.00098,0.05,,,,,,,,,,,,,1,,
130,-5.814327220917816,0,-7,0.2792369993258997,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.22,0.08,0.00776,0.00098,0.05,,,,,,,,,,,,,1,,
131,-5.9933332761111116,0,-7,0.1228919959271997,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.22,0.08,0.00837576,0.00098,0.05,,,,,,,,,,,,,1,,
132,-5.715490861804368,0,-7,0.6636839969301003,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.22,0.06,0.00769,0.00098,0.05,,,,,,,,,,,,,1,,
133,-5.990888839299996,0,-7,0.48437101335149996,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.22,0.06,0.0069,0.00099,0.05,,,,,,,,,,,,,1,,
134,-4.56698180112,0,-7,0.8242229919558006,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.22,0.06,0.0069,0.00117,0.05,,,,,,,,,,,,,1,,
135,-4.472222208977772,0,-7,1.7708730086025,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.22,0.06,0.00776,0.00117,0.05,,,,,,,,,,,,,1,,
